[2021/May/17 09:16:26] 11773 | 127.0.0.1 | 404 - 41.409µs | GET | /me
[2021/May/17 09:16:27] 11773 | 127.0.0.1 | 404 - 11.981µs | GET | /me
[2021/May/17 09:16:28] 11773 | 127.0.0.1 | 404 - 11.903µs | GET | /me
[2021/May/17 09:16:28] 11773 | 127.0.0.1 | 404 - 10.304µs | GET | /me
[2021/May/17 09:16:32] 11773 | 127.0.0.1 | 404 - 10.947µs | GET | /api
[2021/May/17 09:16:32] 11773 | 127.0.0.1 | 404 - 10.65µs | GET | /api
[2021/May/17 09:16:32] 11773 | 127.0.0.1 | 404 - 12.314µs | GET | /api
[2021/May/17 09:16:32] 11773 | 127.0.0.1 | 404 - 13.478µs | GET | /api
[2021/May/17 09:16:35] 11773 | 127.0.0.1 | 404 - 15.582µs | GET | /api/me
[2021/May/17 09:16:35] 11773 | 127.0.0.1 | 404 - 11.21µs | GET | /api/me
[2021/May/17 09:16:35] 11773 | 127.0.0.1 | 404 - 10.563µs | GET | /api/me
[2021/May/17 09:16:36] 11773 | 127.0.0.1 | 404 - 10.156µs | GET | /api/me
[2021/May/17 09:16:36] 11773 | 127.0.0.1 | 404 - 13.697µs | GET | /api/me
[2021/May/17 09:18:36] 11773 | 127.0.0.1 | 200 - 101.803µs | GET | /api/v1/me
[2021/May/17 09:25:06] 914 | 127.0.0.1 | 200 - 194.086µs | GET | /api/v1/me
[2021/May/17 14:55:19] 7657 | 127.0.0.1 | 200 - 183.83µs | GET | /api/v1/me
[2021/May/17 14:59:54] 7657 | 127.0.0.1 | 200 - 77.436µs | GET | /api/v1/me
[2021/May/17 19:40:19] 2773 | 127.0.0.1 | 200 - 213.331µs | GET | /api/v1/me
[2021/May/19 10:41:21] 5662 | 127.0.0.1 | 200 - 190.113µs | GET | /api/v1/me
